Method,Vectorization Time,Training Time,Total Time,Accuracy
bert,568.09,37.24,605.33,0.6989
tfidf_std,1.64,160.73,162.37,0.6907
tfidf_bigrams,4.93,9.31,14.24,0.6862
binary,1.78,9.13,10.91,0.6427
bow,1.92,33.39,35.31,0.6371
d2v,78.44,0.69,79.13,0.5324
w2v,11.2,3.04,14.24,0.366
