Method,Silhouette,ARI,Time
BERT,0.08386396616697311,0.4393105598244274,10.06
TF-IDF Bigrams,0.0897491076649104,1.9328632869051793e-05,21.39
Binary,0.051346255379974,-1.3262974296829683e-05,7.23
Bag of Words,0.06972455474683069,-2.025730677261622e-05,6.72
Word2Vec,0.05170842260122299,-2.8470673504825465e-05,6.27
Doc2Vec,0.030246777459979057,-8.733851011461981e-05,6.51
TF-IDF,0.08235146713107323,-0.0001707123026526442,7.43
