Method,Silhouette,ARI,Vectorization Time,Model Training Time,Total Time
BERT,0.10067418217658997,0.37483918703157165,568.09,4.33,572.42
Doc2Vec,0.015158041380345821,0.15929543525710346,78.44,1.67,80.11
TF-IDF Bigrams,0.07657139276243737,0.07964926360504844,4.93,16.33,21.26
TF-IDF Standard,0.08198113182733763,0.07753001705492404,1.64,16.19,17.83
Word2Vec,0.052943449472481204,0.05541592221430983,11.2,1.39,12.59
Binary,0.0632539538496108,0.03622219005112651,1.78,18.96,20.74
Bag of Words,0.08403516928418416,0.02487214038841711,1.92,16.15,18.07
